playerRanking,gamesPlayed,minutesPlayed,effectiveFieldGoalPercentage,trueShootingPercentage,offensiveReboundsPercentage,defensiveReboundsPercentage,reboundsPercentage,assistsToTurnoversRatio,assistsRatio,turnoversRatio,twoPointAttemptsRatio,threePointAttemptsRatio,freeThrowsRate,possesions,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
1,10.0,8.746666666666666,15.2%,18.2%,2.6%,4.4%,3.5%,0.8,11.8%,14.8%,17.8%,50.4%,17.4%,3.4,010516,"GAZI, ERTEN",26,https://media-cdn.incrowdsports.com/714ae09c-4d14-4a17-bf53-c041d094d084.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.incrowdsports.com/8ea8cec7-d8f7-45f4-a956-d976b5867610.png
2,3.0,4.4222222222222225,0%,0%,9.2%,0%,4.7%,0.5,22.2%,44.4%,11.1%,22.2%,0%,3.0,003274,"DALLO, BORIS",29,https://media-cdn.incrowdsports.com/7c9a1819-6962-465f-afa3-5d418e451295.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
3,2.0,3.091666666666667,0%,0%,0%,0%,0%,0.0,0%,100%,0%,0%,0%,0.5,010868,"DIAGNE, ISMAILA",17,https://media-cdn.incrowdsports.com/e1e2dd06-520f-455f-8f0c-e74eeb8a4d83.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
4,2.0,1.4666666666666666,0%,0%,0%,0%,0%,0.0,0%,0%,33.3%,66.7%,0%,1.5,011666,"SARR, DAME",17,https://media-cdn.incrowdsports.com/8120a506-36ca-4080-a8d4-67939991bed6.png,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
4,3.0,1.627777777777778,0%,0%,0%,0%,0%,0.0,0%,25%,50%,25%,0%,1.3,012415,"TUNCA, MELIH",18,https://media-cdn.incrowdsports.com/84131a4c-7cf1-4e32-858e-dd854de48c6d.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.incrowdsports.com/8ea8cec7-d8f7-45f4-a956-d976b5867610.png
6,1.0,16.533333333333335,0%,0%,0%,12.4%,6.6%,0.7,25%,37.5%,25%,12.5%,0%,8.0,010750,"DE LARREA, SERGIO",18,https://media-cdn.incrowdsports.com/23ea1ad3-e859-42ed-827b-b250fff01f2e.png,PAM,VBC,Valencia Basket,https://media-cdn.incrowdsports.com/efd12730-f2ea-4830-9caa-7f2f676079c2.png
6,6.0,4.413888888888889,20%,34%,0%,4.1%,2.2%,1.0,20.2%,20.2%,10.1%,40.5%,40%,1.6,011649,"GONZALEZ, HUGO",17,https://media-cdn.incrowdsports.com/f0229b66-8f2e-4766-83c4-9987a8ff1372.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
6,1.0,11.683333333333334,50%,50%,0%,0%,0%,0.0,0%,0%,0%,100%,0%,6.0,006158,"LUKOSIUNAS, KAROLIS",26,https://media-cdn.incrowdsports.com/779c02b4-a7aa-4c4d-9a14-321766098ce0.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
9,1.0,0.8,0%,0%,0%,0%,0%,0.0,0%,0%,0%,100%,0%,1.0,012365,"HRABAR, VIT",17,https://media-cdn.incrowdsports.com/bd34a161-053d-4b7d-8844-59e714c83b22.png,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
9,2.0,4.883333333333334,25%,25%,10.5%,0%,5.8%,0.0,0%,0%,100%,0%,0%,2.0,012713,"MASCOLO, BRUNO",27,https://media-cdn.incrowdsports.com/04c7e15a-0de1-4f47-abe7-6f42a117faf4.png,VIR,VIR,Virtus Segafredo Bologna,https://media-cdn.incrowdsports.com/4af5e83b-f2b5-4fba-a87c-1f85837a508a.png
