position,positionChange,gamesPlayed,gamesWon,gamesLost,qualified,winPercentage,pointsDifference,pointsFor,pointsAgainst,homeRecord,awayRecord,neutralRecord,overtimeRecord,lastTenRecord,groupName,last5Form,club.code,club.name,club.abbreviatedName,club.editorialName,club.tvCode,club.isVirtual,club.images.crest
1,Up,5,5,0,False,100%,+57,428,371,3-0,2-0,0-0,0-0,5-0,Regular Season,"['W', 'W', 'W', 'W', 'W']",MAD,Real Madrid,Real,Real,RMB,False,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
2,Down,5,4,1,False,80%,+73,422,349,2-0,2-1,0-0,0-0,4-1,Regular Season,"['W', 'W', 'W', 'W', 'L']",BAR,FC Barcelona,Barcelona,Barcelona,BAR,False,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
3,Equal,5,4,1,False,80%,+41,421,380,2-1,2-0,0-0,0-0,4-1,Regular Season,"['L', 'W', 'W', 'W', 'W']",VIR,Virtus Segafredo Bologna,Virtus,Virtus,VIR,False,https://media-cdn.incrowdsports.com/4af5e83b-f2b5-4fba-a87c-1f85837a508a.png
4,Equal,5,4,1,False,80%,+35,410,375,3-0,1-1,0-0,1-0,4-1,Regular Season,"['W', 'L', 'W', 'W', 'W']",ULK,Fenerbahce Beko Istanbul,Fenerbahce,Fenerbahce,FBB,False,https://media-cdn.incrowdsports.com/0233ebbb-f3a2-49ea-837c-7fd3e661e672.png
5,Up,5,4,1,False,80%,+28,382,354,3-0,1-1,0-0,0-0,4-1,Regular Season,"['W', 'W', 'W', 'L', 'W']",PAM,Valencia Basket,Valencia,Valencia,VBC,False,https://media-cdn.incrowdsports.com/efd12730-f2ea-4830-9caa-7f2f676079c2.png
6,Up,5,3,2,False,60%,+16,399,383,2-1,1-1,0-0,0-0,3-2,Regular Season,"['L', 'L', 'W', 'W', 'W']",MCO,AS Monaco,Monaco,Monaco,ASM,False,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
7,Up,5,3,2,False,60%,-3,355,358,2-1,1-1,0-0,2-0,3-2,Regular Season,"['W', 'L', 'L', 'W', 'W']",OLY,Olympiacos Piraeus,Olympiacos,Olympiacos,OLY,False,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
8,Down,5,3,2,False,60%,-4,411,415,1-1,2-1,0-0,0-0,3-2,Regular Season,"['W', 'W', 'L', 'W', 'L']",ZAL,Zalgiris Kaunas,Zalgiris,Zalgiris,ZAL,False,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
9,Down,5,3,2,False,60%,-14,411,425,1-0,2-2,0-0,1-0,3-2,Regular Season,"['W', 'L', 'W', 'L', 'W']",TEL,Maccabi Playtika Tel Aviv,Maccabi,Maccabi,MTA,False,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png
10,Up,5,2,3,False,40%,+7,388,381,2-2,0-1,0-0,0-2,2-3,Regular Season,"['L', 'W', 'L', 'L', 'W']",PAN,Panathinaikos AKTOR Athens,Panathinaikos,Panathinaikos,PAO,False,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
