Season,Phase,Round,Gamecode,Team,Quarter1,Quarter2,Quarter3,Quarter4,Extra1,Extra2,Extra3,Extra4
2023,RS,1,1,CRVENA ZVEZDA MERIDIANBET BELGRADE,29,23,17,25,,,,
2023,RS,1,1,LDLC ASVEL VILLEURBANNE,18,13,24,18,,,,
2023,RS,1,2,FC BARCELONA,22,18,29,22,,,,
2023,RS,1,2,ANADOLU EFES ISTANBUL,19,15,30,10,,,,
2023,RS,1,3,FC BAYERN MUNICH,19,17,25,19,,,,
2023,RS,1,3,ALBA BERLIN,17,27,7,17,,,,
2023,RS,1,4,MACCABI PLAYTIKA TEL AVIV,27,28,19,22,,,,
2023,RS,1,4,PARTIZAN MOZZART BET BELGRADE,16,27,15,23,,,,
2023,RS,1,5,VIRTUS SEGAFREDO BOLOGNA,23,19,23,14,,,,
2023,RS,1,5,ZALGIRIS KAUNAS,15,22,21,24,,,,
2023,RS,1,6,FENERBAHCE BEKO ISTANBUL,19,19,24,14,9.0,,,
2023,RS,1,6,EA7 EMPORIO ARMANI MILAN,23,12,19,22,6.0,,,
2023,RS,1,7,PANATHINAIKOS ATHENS,22,21,16,15,4.0,,,
2023,RS,1,7,OLYMPIACOS PIRAEUS,23,13,16,22,14.0,,,
2023,RS,1,8,BASKONIA VITORIA-GASTEIZ,23,24,20,10,,,,
2023,RS,1,8,REAL MADRID,19,24,19,17,,,,
2023,RS,1,9,VALENCIA BASKET,17,22,14,17,,,,
2023,RS,1,9,AS MONACO,20,18,13,14,,,,
2023,RS,2,10,ALBA BERLIN,21,26,14,25,,,,
2023,RS,2,10,BASKONIA VITORIA-GASTEIZ,25,26,25,15,,,,
2023,RS,2,11,ANADOLU EFES ISTANBUL,24,17,19,20,,,,
2023,RS,2,11,REAL MADRID,26,29,25,23,,,,
2023,RS,2,12,EA7 EMPORIO ARMANI MILAN,32,20,20,18,,,,
2023,RS,2,12,MACCABI PLAYTIKA TEL AVIV,25,25,25,23,,,,
2023,RS,2,13,PANATHINAIKOS ATHENS,23,14,17,24,,,,
2023,RS,2,13,FC BAYERN MUNICH,11,19,18,23,,,,
2023,RS,2,14,LDLC ASVEL VILLEURBANNE,13,16,19,14,,,,
2023,RS,2,14,PARTIZAN MOZZART BET BELGRADE,17,26,29,16,,,,
2023,RS,2,15,AS MONACO,15,18,15,11,,,,
2023,RS,2,15,VIRTUS SEGAFREDO BOLOGNA,23,25,22,13,,,,
2023,RS,2,16,OLYMPIACOS PIRAEUS,16,18,20,14,,,,
2023,RS,2,16,FC BARCELONA,23,17,16,21,,,,
2023,RS,2,17,VALENCIA BASKET,22,17,19,19,,,,
2023,RS,2,17,FENERBAHCE BEKO ISTANBUL,9,24,20,21,,,,
2023,RS,2,18,ZALGIRIS KAUNAS,19,16,15,29,,,,
2023,RS,2,18,CRVENA ZVEZDA MERIDIANBET BELGRADE,21,17,18,18,,,,
2023,RS,3,19,ANADOLU EFES ISTANBUL,24,19,27,19,,,,
2023,RS,3,19,LDLC ASVEL VILLEURBANNE,24,11,21,28,,,,
2023,RS,3,20,EA7 EMPORIO ARMANI MILAN,19,12,13,21,,,,
2023,RS,3,20,OLYMPIACOS PIRAEUS,17,15,9,12,,,,
2023,RS,3,21,FENERBAHCE BEKO ISTANBUL,27,16,24,16,,,,
2023,RS,3,21,PANATHINAIKOS ATHENS,9,19,17,24,,,,
2023,RS,3,22,PARTIZAN MOZZART BET BELGRADE,16,18,26,23,,,,
2023,RS,3,22,FC BARCELONA,23,21,25,23,,,,
2023,RS,3,23,REAL MADRID,25,28,19,21,,,,
2023,RS,3,23,ZALGIRIS KAUNAS,19,24,19,17,,,,
2023,RS,3,24,BASKONIA VITORIA-GASTEIZ,22,20,20,6,,,,
2023,RS,3,24,FC BAYERN MUNICH,20,21,16,19,,,,
2023,RS,3,25,CRVENA ZVEZDA MERIDIANBET BELGRADE,23,21,19,13,,,,
2023,RS,3,25,AS MONACO,14,24,26,18,,,,
2023,RS,3,26,VALENCIA BASKET,18,15,17,25,,,,
2023,RS,3,26,MACCABI PLAYTIKA TEL AVIV,17,12,15,22,,,,
2023,RS,3,27,VIRTUS SEGAFREDO BOLOGNA,27,17,23,20,,,,
2023,RS,3,27,ALBA BERLIN,11,15,25,25,,,,
2023,RS,4,28,FENERBAHCE BEKO ISTANBUL,16,26,30,29,,,,
2023,RS,4,28,LDLC ASVEL VILLEURBANNE,28,27,15,16,,,,
2023,RS,4,29,OLYMPIACOS PIRAEUS,28,21,10,26,13.0,,,
2023,RS,4,29,PARTIZAN MOZZART BET BELGRADE,21,22,26,16,9.0,,,
2023,RS,4,30,REAL MADRID,19,23,25,21,,,,
2023,RS,4,30,EA7 EMPORIO ARMANI MILAN,25,17,19,10,,,,
2023,RS,4,31,BASKONIA VITORIA-GASTEIZ,14,25,22,21,,,,
2023,RS,4,31,ZALGIRIS KAUNAS,22,24,28,25,,,,
2023,RS,4,32,ANADOLU EFES ISTANBUL,18,20,19,20,,,,
2023,RS,4,32,VALENCIA BASKET,15,25,13,20,,,,
2023,RS,4,33,AS MONACO,18,29,20,19,,,,
2023,RS,4,33,ALBA BERLIN,16,24,16,19,,,,
2023,RS,4,34,FC BARCELONA,27,16,27,28,,,,
2023,RS,4,34,FC BAYERN MUNICH,11,16,13,19,,,,
2023,RS,4,35,PANATHINAIKOS ATHENS,15,9,25,23,9.0,,,
2023,RS,4,35,MACCABI PLAYTIKA TEL AVIV,20,19,18,15,14.0,,,
2023,RS,4,36,VIRTUS SEGAFREDO BOLOGNA,26,18,18,23,,,,
2023,RS,4,36,CRVENA ZVEZDA MERIDIANBET BELGRADE,15,18,22,24,,,,
2023,RS,5,37,ALBA BERLIN,12,23,22,28,,,,
2023,RS,5,37,EA7 EMPORIO ARMANI MILAN,18,19,24,21,,,,
2023,RS,5,38,OLYMPIACOS PIRAEUS,17,16,28,14,,,,
2023,RS,5,38,ANADOLU EFES ISTANBUL,14,11,18,14,,,,
2023,RS,5,39,PARTIZAN MOZZART BET BELGRADE,22,20,11,35,,,,
2023,RS,5,39,CRVENA ZVEZDA MERIDIANBET BELGRADE,13,29,23,21,,,,
2023,RS,5,40,REAL MADRID,12,16,23,14,,,,
2023,RS,5,40,FC BARCELONA,19,11,11,23,,,,
2023,RS,5,41,AS MONACO,27,25,33,22,,,,
2023,RS,5,41,MACCABI PLAYTIKA TEL AVIV,23,15,19,22,,,,
2023,RS,5,42,LDLC ASVEL VILLEURBANNE,18,24,21,21,,,,
2023,RS,5,42,VIRTUS SEGAFREDO BOLOGNA,21,18,26,22,,,,
2023,RS,5,43,FC BAYERN MUNICH,20,18,9,20,,,,
2023,RS,5,43,FENERBAHCE BEKO ISTANBUL,19,22,14,21,,,,
2023,RS,5,44,PANATHINAIKOS ATHENS,24,24,22,25,,,,
2023,RS,5,44,BASKONIA VITORIA-GASTEIZ,22,21,23,15,,,,
2023,RS,5,45,ZALGIRIS KAUNAS,12,18,23,19,,,,
2023,RS,5,45,VALENCIA BASKET,20,32,20,15,,,,
2023,RS,6,46,EA7 EMPORIO ARMANI MILAN,18,19,11,18,,,,
2023,RS,6,46,AS MONACO,13,22,17,20,,,,
2023,RS,6,47,CRVENA ZVEZDA MERIDIANBET BELGRADE,12,21,20,21,,,,
2023,RS,6,47,FC BAYERN MUNICH,19,16,24,9,,,,
2023,RS,6,48,MACCABI PLAYTIKA TEL AVIV,21,20,15,14,,,,
2023,RS,6,48,REAL MADRID,36,16,22,25,,,,
2023,RS,6,49,ZALGIRIS KAUNAS,30,26,24,8,,,,
2023,RS,6,49,LDLC ASVEL VILLEURBANNE,24,26,22,19,,,,
2023,RS,6,50,FENERBAHCE BEKO ISTANBUL,29,17,12,21,,,,
2023,RS,6,50,OLYMPIACOS PIRAEUS,14,19,24,20,,,,
2023,RS,6,51,FC BARCELONA,21,24,26,9,,,,
2023,RS,6,51,PANATHINAIKOS ATHENS,20,13,14,25,,,,
2023,RS,6,52,BASKONIA VITORIA-GASTEIZ,23,25,15,21,,,,
2023,RS,6,52,PARTIZAN MOZZART BET BELGRADE,23,19,24,17,,,,
2023,RS,6,53,VALENCIA BASKET,15,26,15,23,,,,
2023,RS,6,53,ALBA BERLIN,14,25,15,17,,,,
2023,RS,6,54,VIRTUS SEGAFREDO BOLOGNA,20,21,28,24,,,,
